Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season
2014-09-20,Ath Madrid,Celta,2,2,2,1,D,18,5,8,5,6,3,9,17,La_liga,2.42868,0.926164,12,4,9.23076923076923,8.38888888888889,1.48,4.25,7.56,2014/2015
2014-09-20,Espanol,Malaga,2,2,1,0,D,13,9,8,3,7,2,14,16,La_liga,2.76188,0.446347,2,6,8.0,5.5,2.15,3.29,3.67,2014/2015
2014-09-20,La Coruna,Real Madrid,2,8,0,3,A,14,19,5,13,2,3,8,9,La_liga,1.74836,2.05644,0,3,23.31578947368421,12.782608695652174,10.77,5.85,1.28,2014/2015
2014-09-21,Cordoba,Sevilla,1,3,0,1,A,9,15,3,8,7,4,11,24,La_liga,0.901931,2.64146,2,12,8.722222222222221,9.575757575757576,4.14,3.32,1.99,2014/2015
2014-09-21,Levante,Barcelona,0,5,0,2,A,9,17,2,8,3,6,13,11,La_liga,0.44198,3.8229,0,14,23.83333333333333,7.0,16.36,7.21,1.19,2014/2015
2014-09-21,Sociedad,Almeria,1,2,0,1,A,22,13,6,5,13,7,19,17,La_liga,1.67935,0.603236,12,2,5.409090909090909,9.85,1.45,4.46,7.55,2014/2015
2014-09-21,Villarreal,Vallecano,4,2,1,2,H,19,10,9,3,11,5,11,18,La_liga,4.38395,1.40506,12,3,10.321428571428571,7.3478260869565215,1.56,4.02,6.43,2014/2015
2014-09-22,Getafe,Valencia,0,3,0,2,A,12,7,5,3,6,1,25,17,La_liga,0.23474,1.54259,1,4,8.0,13.173913043478262,3.81,3.38,2.05,2014/2015
2014-09-23,Celta,La Coruna,2,1,1,0,H,11,5,4,3,13,4,15,15,La_liga,1.19299,1.04057,3,4,4.857142857142857,9.545454545454543,1.6,3.92,6.05,2014/2015
2014-09-23,Real Madrid,Elche,5,1,3,1,H,23,10,12,3,8,2,15,15,La_liga,3.93785,1.07447,8,0,10.26086956521739,23.94117647058824,1.08,12.37,31.52,2014/2015
2014-09-24,Almeria,Ath Madrid,0,1,0,0,A,6,19,1,9,2,10,14,16,La_liga,0.263228,1.689,1,11,13.25,4.903225806451613,6.1,3.83,1.62,2014/2015
2014-09-24,Eibar,Villarreal,1,1,1,0,D,7,15,3,4,2,10,14,17,La_liga,0.793018,0.662859,3,8,10.68,4.75,3.4,3.1,2.35,2014/2015
2014-09-24,Granada,Levante,0,1,0,0,A,8,10,0,4,5,3,14,13,La_liga,0.636719,0.415162,1,1,5.96,8.068965517241379,1.55,3.96,6.76,2014/2015
2014-09-24,Malaga,Barcelona,0,0,0,0,D,6,10,2,0,2,8,15,13,La_liga,0.278657,0.646364,4,7,9.451612903225806,4.571428571428571,9.11,5.05,1.36,2014/2015
2014-09-24,Sevilla,Sociedad,1,0,1,0,H,19,8,8,1,11,4,13,7,La_liga,2.02336,0.248733,4,4,8.25,11.6,1.8,3.79,4.46,2014/2015
2014-09-24,Vallecano,Ath Bilbao,2,1,1,1,H,15,8,5,3,1,2,18,17,La_liga,3.17965,1.06179,2,4,5.472222222222222,8.074074074074074,3.16,3.45,2.3,2014/2015
2014-09-25,Espanol,Getafe,2,0,0,0,H,10,6,4,2,6,4,16,17,La_liga,2.09364,0.40196,4,5,6.930232558139535,4.875,1.71,3.66,5.42,2014/2015
2014-09-25,Valencia,Cordoba,3,0,2,0,H,17,2,7,1,3,3,11,23,La_liga,1.26428,0.116667,2,3,9.263157894736842,12.52,1.35,4.94,9.83,2014/2015
2014-09-26,Elche,Celta,0,1,0,0,A,14,16,3,4,0,4,12,14,La_liga,0.402099,2.04008,3,12,11.130434782608695,7.0,2.98,3.27,2.48,2014/2015
