Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season
2015-08-08,Bournemouth,Aston Villa,0,1,0,0,A,11,7,2,3,6,3,13,13,EPL,0.876106,0.782253,11.0,2.0,6.9,11.846153846153848,1.96,3.56,4.12,2015/2016
2015-08-08,Chelsea,Swansea,2,2,2,1,D,11,18,3,10,4,8,15,16,EPL,0.64396,2.59203,10.0,5.0,10.363636363636363,8.833333333333334,1.39,4.73,10.22,2015/2016
2015-08-08,Everton,Watford,2,2,0,1,D,10,11,5,5,8,2,7,13,EPL,0.604226,0.557892,5.0,4.0,6.65,17.157894736842106,1.72,3.81,5.38,2015/2016
2015-08-08,Leicester,Sunderland,4,2,3,0,H,19,10,8,5,6,3,13,17,EPL,2.56803,1.45946,5.0,6.0,10.88,9.555555555555555,1.98,3.37,3.92,2015/2016
2015-08-08,Man United,Tottenham,1,0,1,0,H,9,9,1,4,1,2,12,12,EPL,0.627539,0.6746,4.0,10.0,13.826086956521738,8.21875,1.65,3.92,5.91,2015/2016
2015-08-08,Norwich,Crystal Palace,1,3,0,1,A,17,11,6,7,1,4,14,20,EPL,1.13076,2.10975,5.0,10.0,5.7368421052631575,10.625,2.57,3.25,2.99,2015/2016
2015-08-09,Arsenal,West Ham,0,2,0,1,A,22,8,6,4,5,4,12,9,EPL,1.33166,0.535961,11.0,0.0,8.166666666666666,12.454545454545457,1.3,5.62,11.75,2015/2016
2015-08-09,Newcastle,Southampton,2,2,1,1,D,9,15,4,5,6,6,9,12,EPL,1.54613,1.2529,3.0,5.0,12.72222222222222,7.0,2.84,3.24,2.7,2015/2016
2015-08-09,Stoke,Liverpool,0,1,0,0,A,7,8,1,3,3,5,9,16,EPL,0.381274,0.329873,2.0,5.0,11.91304347826087,9.346153846153848,3.4,3.34,2.29,2015/2016
2015-08-10,West Brom,Man City,0,3,0,2,A,9,19,2,7,6,6,12,9,EPL,0.435238,1.9242,4.0,8.0,23.294117647058822,8.08695652173913,5.62,3.87,1.69,2015/2016
2015-08-14,Aston Villa,Man United,0,1,0,1,A,5,9,1,2,3,5,14,10,EPL,0.219118,0.660404,3.0,5.0,10.033333333333331,9.5,5.54,3.76,1.74,2015/2016
2015-08-15,Southampton,Everton,0,3,0,2,A,17,10,4,4,9,9,11,10,EPL,1.06214,1.39628,10.0,5.0,8.826086956521738,15.8125,1.98,3.49,4.22,2015/2016
2015-08-15,Sunderland,Norwich,1,3,0,2,A,6,19,2,6,6,6,7,7,EPL,0.329128,1.71686,2.0,6.0,10.181818181818182,10.666666666666666,2.52,3.21,3.08,2015/2016
2015-08-15,Swansea,Newcastle,2,0,1,0,H,19,4,6,2,4,4,11,8,EPL,1.97424,0.113109,4.0,0.0,6.235294117647059,34.333333333333336,1.95,3.52,4.32,2015/2016
2015-08-15,Tottenham,Stoke,2,2,2,0,D,13,16,7,7,4,3,15,11,EPL,1.70614,2.80956,1.0,5.0,10.125,11.607142857142858,1.8,3.62,5.02,2015/2016
2015-08-15,Watford,West Brom,0,0,0,0,D,16,6,5,0,2,4,13,10,EPL,0.760848,0.684036,3.0,4.0,5.9523809523809526,11.5,2.29,3.33,3.41,2015/2016
2015-08-15,West Ham,Leicester,1,2,0,2,A,10,11,3,6,8,4,11,12,EPL,0.513491,1.80939,10.0,5.0,6.375,15.045454545454543,2.26,3.43,3.36,2015/2016
2015-08-16,Crystal Palace,Arsenal,1,2,1,1,A,11,20,4,7,6,6,14,12,EPL,0.964134,2.05542,5.0,15.0,11.708333333333334,6.965517241379311,5.2,3.79,1.74,2015/2016
2015-08-16,Man City,Chelsea,3,0,1,0,H,18,10,8,3,5,1,19,13,EPL,2.18579,0.482423,15.0,6.0,5.727272727272728,6.620689655172414,2.11,3.44,3.78,2015/2016
2015-08-17,Liverpool,Bournemouth,1,0,1,0,H,18,13,2,2,6,8,11,18,EPL,2.15062,0.460805,9.0,6.0,6.413793103448276,10.0,1.46,4.61,7.9,2015/2016
2015-08-22,Crystal Palace,Aston Villa,2,1,0,0,H,16,11,6,2,6,4,12,15,EPL,1.23807,0.765278,9.0,6.0,8.166666666666666,8.476190476190476,1.85,3.56,4.74,2015/2016
2015-08-22,Leicester,Tottenham,1,1,0,0,D,13,19,2,6,2,7,7,14,EPL,0.829012,1.89437,5.0,5.0,15.578947368421051,4.947368421052632,2.68,3.43,2.72,2015/2016
2015-08-22,Man United,Newcastle,0,0,0,0,D,20,7,8,0,11,5,15,11,EPL,1.2491,0.4384,12.0,1.0,4.709677419354839,18.4375,1.37,5.1,9.53,2015/2016
2015-08-22,Norwich,Stoke,1,1,1,1,D,21,6,7,1,9,0,16,5,EPL,3.14888,0.698228,4.0,2.0,9.633333333333333,10.928571428571429,2.33,3.3,3.34,2015/2016
2015-08-22,Sunderland,Swansea,1,1,0,1,D,10,20,2,9,3,4,16,9,EPL,0.569426,1.56064,2.0,4.0,10.10344827586207,8.578947368421053,3.88,3.34,2.11,2015/2016
2015-08-22,West Ham,Bournemouth,3,4,0,2,A,10,15,4,7,5,4,8,11,EPL,1.50203,2.8554,3.0,7.0,9.909090909090908,10.72222222222222,2.4,3.34,3.16,2015/2016
2015-08-23,Everton,Man City,0,2,0,0,A,10,16,1,9,8,7,5,7,EPL,0.579338,1.57983,3.0,9.0,19.25,9.36,4.96,3.9,1.75,2015/2016
2015-08-23,Watford,Southampton,0,0,0,0,D,13,14,0,5,5,2,10,11,EPL,1.17588,0.68359,2.0,2.0,9.045454545454543,7.407407407407407,2.76,3.26,2.74,2015/2016
2015-08-23,West Brom,Chelsea,2,3,1,3,A,15,15,6,5,8,7,9,12,EPL,1.42622,2.02778,4.0,8.0,14.823529411764708,17.5,6.25,3.81,1.65,2015/2016
2015-08-24,Arsenal,Liverpool,0,0,0,0,D,19,15,5,8,7,8,2,13,EPL,1.83755,1.29206,14.0,9.0,5.615384615384615,10.428571428571429,1.74,3.88,5.08,2015/2016
2015-08-29,Aston Villa,Sunderland,2,2,2,1,D,21,7,6,3,5,4,10,14,EPL,2.27406,0.368848,12.0,3.0,8.636363636363637,7.35,1.92,3.4,4.62,2015/2016
2015-08-29,Bournemouth,Leicester,1,1,1,0,D,5,4,2,2,4,4,9,19,EPL,0.321432,0.919097,4.0,6.0,7.05,5.166666666666667,2.17,3.48,3.49,2015/2016
2015-08-29,Chelsea,Crystal Palace,1,2,0,0,A,26,13,9,6,7,7,9,15,EPL,1.27906,2.19283,10.0,8.0,8.2,18.5,1.36,4.94,10.29,2015/2016
2015-08-29,Liverpool,West Ham,0,3,0,2,A,13,12,1,5,5,7,17,11,EPL,0.561737,0.97217,12.0,1.0,5.965517241379311,12.090909090909092,1.36,5.17,9.55,2015/2016
2015-08-29,Man City,Watford,2,0,0,0,H,18,7,5,0,9,3,9,12,EPL,1.52895,0.363603,9.0,1.0,10.142857142857142,20.444444444444443,1.2,7.5,15.19,2015/2016
2015-08-29,Newcastle,Arsenal,0,1,0,0,A,1,22,0,9,0,9,15,8,EPL,0.0319694,2.33948,0.0,15.0,21.823529411764707,5.535714285714286,6.1,4.05,1.61,2015/2016
2015-08-29,Stoke,West Brom,0,1,0,1,A,13,15,5,5,6,5,4,9,EPL,1.21771,0.881194,2.0,8.0,23.88888888888889,8.96774193548387,1.94,3.41,4.45,2015/2016
2015-08-29,Tottenham,Everton,0,0,0,0,D,20,8,6,3,6,2,20,9,EPL,1.99917,0.694692,11.0,6.0,7.4375,18.53846153846154,1.98,3.54,4.12,2015/2016
