Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season
2015-08-30,Southampton,Norwich,3,0,1,0,H,23,6,8,1,6,4,4,12,EPL,2.85501,0.639434,2.0,2.0,10.333333333333334,25.58333333333333,2.05,3.45,3.95,2015/2016
2015-08-30,Swansea,Man United,2,1,0,0,H,9,11,4,4,0,1,6,15,EPL,0.971183,1.28089,3.0,9.0,15.173913043478262,6.896551724137931,3.56,3.29,2.23,2015/2016
2015-09-12,Arsenal,Stoke,2,0,1,0,H,29,9,12,4,13,1,6,13,EPL,4.42684,0.191277,20.0,2.0,6.76,15.904761904761903,1.29,5.72,12.0,2015/2016
2015-09-12,Crystal Palace,Man City,0,1,0,0,A,10,21,2,7,4,4,13,13,EPL,0.743193,3.08883,2.0,8.0,8.625,8.583333333333334,5.56,4.09,1.65,2015/2016
2015-09-12,Everton,Chelsea,3,1,2,1,H,14,15,9,2,7,14,12,12,EPL,1.18026,0.656048,4.0,7.0,15.047619047619047,7.615384615384615,4.05,3.47,2.01,2015/2016
2015-09-12,Man United,Liverpool,3,1,0,0,H,9,8,3,4,4,4,6,11,EPL,1.46206,1.02572,4.0,5.0,9.77777777777778,14.476190476190476,1.96,3.45,4.43,2015/2016
2015-09-12,Norwich,Bournemouth,3,1,1,0,H,12,7,4,2,4,4,10,11,EPL,1.33151,0.389495,7.0,3.0,9.961538461538462,11.63157894736842,2.39,3.34,3.18,2015/2016
2015-09-12,Watford,Swansea,1,0,0,0,H,17,8,6,3,1,3,11,14,EPL,1.57333,0.503008,3.0,8.0,11.25925925925926,6.7,2.74,3.26,2.8,2015/2016
2015-09-12,West Brom,Southampton,0,0,0,0,D,8,14,1,4,4,5,5,5,EPL,0.409143,1.00731,5.0,7.0,20.41176470588235,8.555555555555555,3.2,3.16,2.49,2015/2016
2015-09-13,Leicester,Aston Villa,3,2,0,1,H,21,11,6,4,4,5,8,13,EPL,1.34987,0.953181,11.0,5.0,7.151515151515151,8.409090909090908,1.89,3.62,4.47,2015/2016
2015-09-13,Sunderland,Tottenham,0,1,0,0,A,12,15,2,4,6,8,11,12,EPL,1.0407,1.45615,4.0,12.0,12.055555555555555,5.172413793103448,4.31,3.52,1.94,2015/2016
2015-09-14,West Ham,Newcastle,2,0,1,0,H,17,14,3,4,6,7,8,11,EPL,1.71282,0.716599,4.0,4.0,11.72,8.222222222222221,2.24,3.41,3.42,2015/2016
2015-09-19,Aston Villa,West Brom,0,1,0,1,A,13,11,3,6,2,7,10,11,EPL,0.876719,0.632761,5.0,2.0,6.12,8.413793103448276,2.3,3.22,3.47,2015/2016
2015-09-19,Bournemouth,Sunderland,2,0,2,0,H,15,9,5,2,7,3,14,15,EPL,0.644335,0.854867,7.0,2.0,8.518518518518519,9.26923076923077,1.71,3.87,5.34,2015/2016
2015-09-19,Chelsea,Arsenal,2,0,0,0,H,22,9,7,2,5,5,12,11,EPL,2.0687,0.775312,14.0,5.0,6.09375,13.181818181818182,2.43,3.4,3.06,2015/2016
2015-09-19,Man City,West Ham,1,2,1,2,A,27,6,8,3,16,3,10,7,EPL,2.98465,0.995273,15.0,3.0,3.6666666666666665,23.76923076923077,1.27,6.11,12.2,2015/2016
2015-09-19,Newcastle,Watford,1,2,0,2,A,15,13,5,4,5,5,8,12,EPL,1.15114,1.33961,7.0,10.0,9.444444444444445,7.594594594594595,2.51,3.29,3.04,2015/2016
2015-09-19,Stoke,Leicester,2,2,2,0,D,11,12,4,5,3,4,7,12,EPL,1.14717,1.22582,2.0,3.0,6.956521739130435,6.0,2.48,3.3,3.06,2015/2016
2015-09-19,Swansea,Everton,0,0,0,0,D,12,17,3,2,2,4,12,11,EPL,0.864868,1.77458,4.0,12.0,8.576923076923077,9.0,2.29,3.36,3.35,2015/2016
2015-09-20,Liverpool,Norwich,1,1,0,0,D,23,7,7,2,6,2,4,13,EPL,1.90447,0.556271,12.0,3.0,8.863636363636363,15.19047619047619,1.67,3.88,5.7,2015/2016
2015-09-20,Southampton,Man United,2,3,1,1,A,15,10,8,3,5,5,6,13,EPL,1.83663,1.65119,7.0,4.0,17.45,12.235294117647058,3.13,3.2,2.49,2015/2016
2015-09-20,Tottenham,Crystal Palace,1,0,0,0,H,22,12,6,4,6,5,9,11,EPL,1.01573,0.538439,10.0,5.0,5.176470588235294,10.173913043478262,1.98,3.58,3.99,2015/2016
2015-09-26,Leicester,Arsenal,2,5,1,2,A,16,26,7,12,6,5,9,12,EPL,1.38516,3.89623,8.0,17.0,10.333333333333334,6.7727272727272725,4.36,3.9,1.83,2015/2016
2015-09-26,Liverpool,Aston Villa,3,2,1,0,H,21,10,12,4,11,1,8,13,EPL,1.78331,0.892054,11.0,2.0,7.413793103448276,26.416666666666668,1.54,4.13,7.24,2015/2016
2015-09-26,Man United,Sunderland,3,0,1,0,H,12,9,7,4,5,2,12,17,EPL,2.8971,0.832139,6.0,1.0,6.428571428571429,22.0,1.22,6.85,15.18,2015/2016
2015-09-26,Newcastle,Chelsea,2,2,1,0,D,11,16,5,4,4,6,12,15,EPL,0.702109,1.30593,2.0,8.0,11.125,4.2,6.0,3.99,1.63,2015/2016
2015-09-26,Southampton,Swansea,3,1,1,0,H,18,11,7,4,4,3,18,14,EPL,1.55418,1.41962,10.0,4.0,11.703703703703704,11.11111111111111,2.06,3.33,4.09,2015/2016
2015-09-26,Stoke,Bournemouth,2,1,1,0,H,8,11,5,6,3,7,13,11,EPL,1.94483,0.871678,3.0,8.0,10.428571428571429,9.95,2.52,3.29,3.02,2015/2016
2015-09-26,Tottenham,Man City,4,1,1,1,H,15,22,8,8,5,9,17,6,EPL,2.30799,1.57842,3.0,17.0,5.289473684210527,10.9,4.06,3.7,1.94,2015/2016
2015-09-26,West Ham,Norwich,2,2,1,1,D,19,16,7,7,7,5,7,17,EPL,2.60407,1.38603,9.0,3.0,9.0,6.730769230769231,2.26,3.44,3.37,2015/2016
2015-09-27,Watford,Crystal Palace,0,1,0,0,A,15,16,2,3,6,4,17,22,EPL,0.685939,2.33566,9.0,2.0,9.625,8.772727272727273,2.55,3.22,3.06,2015/2016
2015-09-28,West Brom,Everton,2,3,1,0,A,9,12,4,4,6,4,9,8,EPL,1.27511,2.30159,6.0,5.0,11.0,9.6,3.09,3.25,2.5,2015/2016
2015-10-03,Aston Villa,Stoke,0,1,0,0,A,13,12,2,5,9,5,12,12,EPL,0.839028,1.03499,7.0,3.0,7.633333333333334,8.32258064516129,2.5,3.28,3.06,2015/2016
2015-10-03,Bournemouth,Watford,1,1,1,1,D,12,11,6,2,5,3,8,13,EPL,1.50268,0.913291,1.0,3.0,11.944444444444445,9.884615384615383,2.12,3.38,3.77,2015/2016
2015-10-03,Chelsea,Southampton,1,3,1,1,A,10,13,3,5,4,6,14,14,EPL,0.520175,1.58246,5.0,5.0,8.727272727272727,14.2,1.83,3.6,4.8,2015/2016
2015-10-03,Crystal Palace,West Brom,2,0,0,0,H,21,7,8,2,8,3,14,13,EPL,1.99083,0.255528,3.0,1.0,4.2,10.523809523809524,1.84,3.46,4.98,2015/2016
2015-10-03,Man City,Newcastle,6,1,1,1,H,23,6,11,4,6,3,13,8,EPL,3.3346,0.980279,14.0,3.0,5.484848484848484,22.545454545454547,1.24,6.72,13.7,2015/2016
2015-10-03,Norwich,Leicester,1,2,0,1,A,17,16,2,5,16,8,4,4,EPL,1.18074,3.00282,5.0,5.0,11.555555555555555,10.217391304347826,2.28,3.53,3.23,2015/2016
2015-10-03,Sunderland,West Ham,2,2,2,1,D,12,20,3,6,1,8,14,11,EPL,1.08401,1.93656,3.0,7.0,13.0,9.38095238095238,3.09,3.44,2.4,2015/2016
2015-10-04,Arsenal,Man United,3,0,3,0,H,12,9,5,5,3,6,8,17,EPL,2.16952,1.03953,12.0,6.0,21.53333333333333,5.775,2.02,3.69,3.79,2015/2016
2015-10-04,Everton,Liverpool,1,1,1,1,D,14,13,4,4,5,11,10,19,EPL,1.20063,1.30844,4.0,12.0,12.823529411764708,6.275862068965517,2.72,3.26,2.81,2015/2016
2015-10-04,Swansea,Tottenham,2,2,2,1,D,11,19,2,11,5,6,8,19,EPL,0.774806,1.18142,3.0,4.0,13.857142857142858,7.67741935483871,2.7,3.31,2.78,2015/2016
2015-10-17,Chelsea,Aston Villa,2,0,1,0,H,9,8,3,1,4,4,22,17,EPL,1.22875,0.795846,6.0,2.0,5.409090909090909,9.761904761904765,1.34,5.36,10.0,2015/2016
2015-10-17,Crystal Palace,West Ham,1,3,1,1,A,6,24,1,4,1,9,9,11,EPL,1.08391,2.76356,9.0,15.0,12.55,7.173913043478261,2.03,3.52,3.94,2015/2016
2015-10-17,Everton,Man United,0,3,0,2,A,12,10,3,7,5,3,12,14,EPL,0.653457,1.47853,5.0,6.0,10.74074074074074,11.826086956521738,3.22,3.28,2.41,2015/2016
2015-10-17,Man City,Bournemouth,5,1,4,1,H,15,5,11,1,1,7,11,5,EPL,4.71274,0.173025,12.0,4.0,14.31578947368421,14.80952380952381,1.34,5.41,9.9,2015/2016
2015-10-17,Southampton,Leicester,2,2,2,0,D,14,26,6,7,6,7,16,10,EPL,1.46668,2.78648,5.0,8.0,9.0625,6.625,1.76,3.76,5.03,2015/2016
2015-10-17,Tottenham,Liverpool,0,0,0,0,D,13,12,4,3,8,6,15,11,EPL,0.586228,0.715892,4.0,3.0,5.605263157894737,8.185185185185185,2.48,3.46,3.0,2015/2016
2015-10-17,Watford,Arsenal,0,3,0,0,A,8,17,1,6,3,9,11,12,EPL,0.254791,2.69046,7.0,16.0,9.384615384615383,6.304347826086956,6.14,4.08,1.61,2015/2016
2015-10-17,West Brom,Sunderland,1,0,0,0,H,8,9,1,2,1,5,12,13,EPL,2.07781,0.658473,2.0,5.0,9.421052631578949,9.173913043478262,2.07,3.28,4.12,2015/2016
2015-10-18,Newcastle,Norwich,6,2,3,2,H,11,18,6,6,3,7,10,10,EPL,2.24896,1.34395,8.0,4.0,12.526315789473683,7.384615384615385,2.6,3.34,2.87,2015/2016
2015-10-19,Swansea,Stoke,0,1,0,1,A,14,9,2,2,1,2,6,14,EPL,0.485489,1.64894,5.0,6.0,16.27777777777778,16.545454545454547,2.06,3.33,4.09,2015/2016
2015-10-24,Arsenal,Everton,2,1,2,1,H,20,10,5,5,7,5,11,14,EPL,2.55754,0.373025,19.0,1.0,6.297297297297297,8.0,1.44,4.66,8.05,2015/2016
2015-10-24,Aston Villa,Swansea,1,2,0,0,A,9,11,3,4,4,6,10,8,EPL,1.09516,1.74353,4.0,4.0,10.36,6.730769230769231,3.02,3.17,2.61,2015/2016
2015-10-24,Leicester,Crystal Palace,1,0,0,0,H,12,9,3,4,3,2,7,11,EPL,1.33502,0.240008,2.0,5.0,13.526315789473683,11.636363636363637,2.23,3.42,3.44,2015/2016
2015-10-24,Norwich,West Brom,0,1,0,0,A,16,7,3,4,13,3,11,6,EPL,1.03228,1.45436,6.0,3.0,7.611111111111111,13.588235294117649,2.01,3.4,4.18,2015/2016
2015-10-24,Stoke,Watford,0,2,0,1,A,12,13,1,3,11,5,10,18,EPL,0.848432,1.0403,5.0,4.0,8.142857142857142,13.08695652173913,2.11,3.27,3.93,2015/2016
2015-10-24,West Ham,Chelsea,2,1,1,0,H,12,8,5,4,7,4,10,12,EPL,0.77284,1.1356,3.0,4.0,9.392857142857142,7.730769230769231,3.95,3.61,1.99,2015/2016
2015-10-25,Bournemouth,Tottenham,1,5,1,3,A,11,14,3,9,4,5,8,15,EPL,0.490581,3.43313,5.0,5.0,12.347826086956522,5.513513513513513,3.5,3.33,2.24,2015/2016
2015-10-25,Liverpool,Southampton,1,1,0,0,D,15,8,2,3,10,7,8,11,EPL,0.682823,1.56383,11.0,9.0,10.882352941176473,9.027027027027026,2.08,3.49,3.84,2015/2016
2015-10-25,Man United,Man City,0,0,0,0,D,6,6,1,1,6,4,17,13,EPL,0.391754,0.310718,5.0,6.0,7.0,10.833333333333334,2.63,3.4,2.85,2015/2016
2015-10-25,Sunderland,Newcastle,3,0,1,0,H,9,21,3,8,1,10,12,10,EPL,2.37969,1.41744,5.0,7.0,12.35,8.9375,2.6,3.3,2.94,2015/2016
2015-10-31,Chelsea,Liverpool,1,3,1,1,A,8,16,2,7,1,7,9,21,EPL,0.735762,0.839342,2.0,12.0,8.421052631578947,6.054054054054054,2.09,3.41,3.83,2015/2016
2015-10-31,Crystal Palace,Man United,0,0,0,0,D,10,5,5,1,7,3,12,15,EPL,0.939118,0.394404,5.0,8.0,9.576923076923077,7.428571428571429,3.96,3.34,2.09,2015/2016
2015-10-31,Man City,Norwich,2,1,0,0,H,21,5,5,3,12,4,4,13,EPL,2.83557,1.17497,12.0,5.0,10.0,28.0,1.29,5.87,11.63,2015/2016
2015-10-31,Newcastle,Stoke,0,0,0,0,D,15,9,6,2,11,4,6,16,EPL,1.26075,1.38017,4.0,2.0,15.25,9.727272727272728,2.39,3.33,3.2,2015/2016
2015-10-31,Swansea,Arsenal,0,3,0,0,A,8,15,3,5,4,4,12,7,EPL,0.264441,2.17657,4.0,5.0,10.782608695652174,16.904761904761905,5.01,3.86,1.75,2015/2016
2015-10-31,Watford,West Ham,2,0,1,0,H,20,8,5,3,7,2,16,12,EPL,1.61544,0.605625,7.0,2.0,10.16,9.95,2.59,3.3,2.91,2015/2016
2015-10-31,West Brom,Leicester,2,3,1,0,A,14,13,6,5,6,4,3,11,EPL,1.50447,2.22545,9.0,4.0,30.0,7.0,2.88,3.26,2.64,2015/2016
2015-11-01,Everton,Sunderland,6,2,2,1,H,15,17,8,9,6,1,6,5,EPL,2.34852,1.21834,11.0,8.0,15.363636363636363,15.0,1.5,4.38,7.38,2015/2016
2015-11-01,Southampton,Bournemouth,2,0,2,0,H,11,16,2,2,4,6,5,5,EPL,1.15966,0.712132,9.0,9.0,15.77777777777778,12.5,1.55,4.21,6.6,2015/2016
2015-11-02,Tottenham,Aston Villa,3,1,2,0,H,17,13,6,2,4,3,6,15,EPL,1.15,0.33,7.0,1.0,5.96,14.33,1.43,4.64,8.5,2015/2016
2015-11-07,Bournemouth,Newcastle,0,1,0,1,A,20,2,5,1,16,0,9,11,EPL,1.00427,0.504409,7.0,0.0,4.65625,14.863636363636363,2.22,3.44,3.47,2015/2016
2015-11-07,Leicester,Watford,2,1,0,0,H,12,8,6,4,4,2,10,10,EPL,1.56389,1.00531,0.0,3.0,10.551724137931034,9.764705882352942,1.85,3.65,4.44,2015/2016
2015-11-07,Man United,West Brom,2,0,0,0,H,13,4,3,0,5,1,11,10,EPL,1.2779,0.594031,11.0,1.0,7.523809523809524,12.521739130434783,1.34,4.94,11.89,2015/2016
2015-11-07,Norwich,Swansea,1,0,0,0,H,9,8,5,0,5,2,12,7,EPL,1.19517,0.402284,4.0,5.0,23.05263157894737,10.9375,2.48,3.34,3.02,2015/2016
2015-11-07,Stoke,Chelsea,1,0,0,0,H,8,19,2,4,1,9,13,10,EPL,0.825418,1.02642,5.0,13.0,14.375,5.8,3.85,3.43,2.08,2015/2016
2015-11-07,Sunderland,Southampton,0,1,0,0,A,9,11,3,4,10,11,3,7,EPL,0.299104,1.79578,3.0,6.0,19.571428571428573,7.315789473684211,4.88,3.63,1.8,2015/2016
2015-11-07,West Ham,Everton,1,1,1,1,D,16,13,5,4,3,5,11,12,EPL,0.589567,1.08814,2.0,6.0,13.5,18.125,2.59,3.4,2.84,2015/2016
2015-11-08,Arsenal,Tottenham,1,1,0,1,D,10,14,4,4,7,6,12,17,EPL,2.01767,0.90585,9.0,5.0,6.3,9.695652173913045,1.73,3.92,5.05,2015/2016
2015-11-08,Aston Villa,Man City,0,0,0,0,D,3,13,0,3,3,8,7,7,EPL,0.182741,1.53281,1.0,12.0,33.0,6.851851851851852,7.91,4.68,1.44,2015/2016
2015-11-08,Liverpool,Crystal Palace,1,2,1,1,A,22,9,4,4,14,6,7,6,EPL,2.15673,0.849281,20.0,1.0,5.782608695652174,10.590909090909092,1.68,3.75,5.87,2015/2016
2015-11-21,Chelsea,Norwich,1,0,0,0,H,21,4,7,2,6,5,4,12,EPL,2.16487,0.202798,15.0,2.0,6.818181818181818,14.333333333333334,1.42,4.79,8.57,2015/2016
2015-11-21,Everton,Aston Villa,4,0,3,0,H,16,10,9,3,2,3,6,9,EPL,2.83068,0.322061,6.0,2.0,11.285714285714286,17.208333333333332,1.56,4.1,6.58,2015/2016
2015-11-21,Man City,Liverpool,1,4,1,3,A,11,14,3,9,11,5,5,13,EPL,1.08612,2.61697,9.0,8.0,9.5,8.655172413793103,1.68,3.94,5.58,2015/2016
2015-11-21,Newcastle,Leicester,0,3,0,1,A,9,18,1,7,4,9,9,12,EPL,0.372387,3.27478,1.0,12.0,9.833333333333334,8.083333333333334,2.82,3.5,2.56,2015/2016
2015-11-21,Southampton,Stoke,0,1,0,1,A,16,16,1,4,7,3,8,8,EPL,0.709485,1.19495,15.0,3.0,10.19047619047619,16.615384615384617,1.61,3.89,6.62,2015/2016
2015-11-21,Swansea,Bournemouth,2,2,2,2,D,11,16,4,4,4,5,7,9,EPL,1.88526,1.58509,5.0,11.0,9.666666666666666,9.826086956521738,1.92,3.47,4.55,2015/2016
2015-11-21,Watford,Man United,1,2,0,1,A,10,13,5,6,4,10,6,12,EPL,1.47077,1.30264,9.0,8.0,8.214285714285714,5.303030303030303,4.2,3.28,2.04,2015/2016
2015-11-21,West Brom,Arsenal,2,1,2,1,H,4,11,1,3,3,5,14,10,EPL,0.332888,2.08956,2.0,11.0,13.241379310344827,5.090909090909091,6.8,4.24,1.54,2015/2016
2015-11-22,Tottenham,West Ham,4,1,2,0,H,22,10,12,4,7,6,13,9,EPL,3.22353,0.818937,8.0,4.0,5.54054054054054,9.37037037037037,1.57,4.2,6.44,2015/2016
2015-11-23,Crystal Palace,Sunderland,0,1,0,0,A,19,12,7,4,11,2,18,11,EPL,0.7,1.31,4.0,8.0,3.06,27.67,1.57,3.98,6.94,2015/2016
2015-11-28,Aston Villa,Watford,2,3,1,1,A,12,14,6,6,10,10,6,13,EPL,1.48969,1.45176,6.0,7.0,5.055555555555555,9.75,2.76,3.2,2.81,2015/2016
2015-11-28,Bournemouth,Everton,3,3,0,2,D,19,11,10,6,10,5,6,6,EPL,1.69105,0.729005,5.0,5.0,6.315789473684211,12.869565217391305,2.94,3.48,2.48,2015/2016
2015-11-28,Crystal Palace,Newcastle,5,1,3,1,H,19,7,8,2,7,5,7,13,EPL,1.67836,0.791299,7.0,2.0,7.68,11.130434782608695,1.7,3.86,5.38,2015/2016
2015-11-28,Leicester,Man United,1,1,1,1,D,7,10,3,2,1,8,5,7,EPL,0.876256,1.05613,3.0,3.0,15.38095238095238,4.782608695652174,3.19,3.36,2.38,2015/2016
2015-11-28,Man City,Southampton,3,1,2,0,H,16,12,9,8,6,4,14,11,EPL,2.12331,1.24478,6.0,4.0,7.472222222222222,9.944444444444445,1.58,4.23,6.13,2015/2016
2015-11-28,Sunderland,Stoke,2,0,0,0,H,18,7,5,3,9,5,4,10,EPL,0.863466,0.79464,6.0,4.0,9.807692307692308,15.6,3.16,3.24,2.45,2015/2016
2015-11-29,Liverpool,Swansea,1,0,0,0,H,10,8,2,0,8,7,12,6,EPL,1.19358,0.367517,9.0,1.0,6.641025641025641,24.58333333333333,1.47,4.51,7.74,2015/2016
2015-11-29,Norwich,Arsenal,1,1,1,1,D,7,12,2,3,3,6,8,6,EPL,1.01025,1.65699,4.0,8.0,22.5,9.052631578947368,5.72,4.22,1.61,2015/2016
2015-11-29,Tottenham,Chelsea,0,0,0,0,D,9,5,4,1,4,4,14,9,EPL,0.333494,0.283375,3.0,5.0,7.052631578947368,11.478260869565217,2.56,3.4,2.89,2015/2016
2015-11-29,West Ham,West Brom,1,1,1,0,D,17,7,6,3,5,2,15,16,EPL,1.41404,0.866305,9.0,3.0,5.954545454545454,10.91304347826087,2.08,3.4,3.93,2015/2016
