Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season
2014-08-16,Arsenal,Crystal Palace,2.0,1.0,1.0,1.0,H,14.0,4.0,6.0,2.0,9.0,3.0,13.0,19.0,EPL,1.55411,0.158151,9,0,2.933333333333333,14.172413793103448,1.25,6.18,12.88,2014/2015
2014-08-16,Leicester,Everton,2.0,2.0,1.0,2.0,D,11.0,13.0,3.0,3.0,3.0,6.0,16.0,10.0,EPL,1.2783,0.613273,1,15,14.48,11.6875,3.16,3.32,2.42,2014/2015
2014-08-16,Man United,Swansea,1.0,2.0,0.0,1.0,A,14.0,5.0,5.0,4.0,4.0,0.0,14.0,20.0,EPL,1.16635,0.278076,8,2,10.12,17.94736842105263,1.36,4.95,10.15,2014/2015
2014-08-16,QPR,Hull,0.0,1.0,0.0,0.0,A,19.0,11.0,6.0,4.0,8.0,9.0,10.0,10.0,EPL,1.90067,1.11757,1,5,12.823529411764708,10.285714285714286,2.53,3.19,3.08,2014/2015
2014-08-16,Stoke,Aston Villa,0.0,1.0,0.0,0.0,A,12.0,7.0,2.0,2.0,2.0,8.0,14.0,9.0,EPL,0.423368,0.909774,3,4,4.125,14.043478260869565,1.95,3.37,4.5,2014/2015
2014-08-16,West Brom,Sunderland,2.0,2.0,1.0,1.0,D,10.0,7.0,5.0,2.0,6.0,3.0,18.0,9.0,EPL,1.68343,0.991901,6,3,5.935483870967742,13.6875,2.25,3.28,3.53,2014/2015
2014-08-16,West Ham,Tottenham,0.0,1.0,0.0,0.0,A,18.0,10.0,4.0,4.0,8.0,5.0,12.0,10.0,EPL,1.8531,1.01706,9,3,11.25,10.956521739130435,3.88,3.49,2.05,2014/2015
2014-08-17,Liverpool,Southampton,2.0,1.0,1.0,0.0,H,12.0,12.0,5.0,6.0,2.0,6.0,8.0,11.0,EPL,1.33192,1.55248,6,9,11.333333333333334,11.13888888888889,1.35,5.24,9.82,2014/2015
2014-08-17,Newcastle,Man City,0.0,2.0,0.0,1.0,A,12.0,13.0,0.0,5.0,3.0,3.0,8.0,11.0,EPL,0.965583,1.48053,6,9,15.590909090909092,12.909090909090908,5.39,4.12,1.66,2014/2015
2014-08-18,Burnley,Chelsea,1.0,3.0,1.0,3.0,A,9.0,11.0,2.0,3.0,4.0,3.0,6.0,7.0,EPL,0.371141,2.12996,2,10,17.952380952380953,13.733333333333333,9.44,4.7,1.4,2014/2015
2014-08-23,Aston Villa,Newcastle,0.0,0.0,0.0,0.0,D,9.0,11.0,0.0,4.0,7.0,7.0,11.0,8.0,EPL,0.507525,0.699295,4,7,15.523809523809524,8.571428571428571,2.5,3.33,3.0,2014/2015
2014-08-23,Chelsea,Leicester,2.0,0.0,0.0,0.0,H,27.0,6.0,10.0,4.0,8.0,7.0,11.0,11.0,EPL,2.02939,0.550894,12,1,7.052631578947368,9.15625,1.21,6.82,16.68,2014/2015
2014-08-23,Crystal Palace,West Ham,1.0,3.0,0.0,2.0,A,9.0,17.0,4.0,8.0,6.0,9.0,14.0,11.0,EPL,0.617283,1.33957,7,6,8.151515151515152,9.045454545454543,2.48,3.24,3.1,2014/2015
2014-08-23,Everton,Arsenal,2.0,2.0,2.0,0.0,D,8.0,13.0,2.0,3.0,3.0,3.0,10.0,18.0,EPL,1.33429,1.43355,3,8,15.882352941176473,7.787878787878788,2.73,3.34,2.74,2014/2015
2014-08-23,Southampton,West Brom,0.0,0.0,0.0,0.0,D,8.0,8.0,2.0,2.0,1.0,5.0,14.0,15.0,EPL,0.665853,0.665791,5,2,7.444444444444445,12.391304347826088,1.87,3.59,4.59,2014/2015
