Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season
2016-08-13,Burnley,Swansea,0,1,0,0,A,10,17,3,9,7,4,10,14,EPL,1.04903,1.72089,5.0,2.0,10.952380952380953,10.3125,2.47,3.26,3.15,2016/2017
2016-08-13,Crystal Palace,West Brom,0,1,0,0,A,14,13,4,3,3,6,12,15,EPL,0.990062,0.684593,4.0,5.0,4.260869565217392,7.076923076923077,2.03,3.25,4.3,2016/2017
2016-08-13,Everton,Tottenham,1,1,1,0,D,12,13,6,4,5,6,10,14,EPL,0.790063,1.12348,5.0,8.0,7.419354838709677,5.411764705882353,3.2,3.33,2.39,2016/2017
2016-08-13,Hull,Leicester,2,1,1,0,H,14,18,5,5,5,3,8,17,EPL,0.740018,2.45631,0.0,5.0,17.866666666666667,11.28,4.38,3.48,1.94,2016/2017
2016-08-13,Man City,Sunderland,2,1,1,0,H,16,7,4,3,9,6,11,14,EPL,1.95479,1.09877,11.0,4.0,5.428571428571429,16.0,1.25,6.24,14.04,2016/2017
2016-08-13,Middlesbrough,Stoke,1,1,1,0,D,12,12,2,1,9,6,18,14,EPL,1.80523,0.485626,4.0,4.0,7.3125,9.045454545454543,2.37,3.19,3.36,2016/2017
2016-08-13,Southampton,Watford,1,1,0,1,D,24,5,6,1,6,2,8,12,EPL,0.937328,0.180046,6.0,4.0,6.583333333333333,14.956521739130435,1.84,3.61,4.78,2016/2017
2016-08-14,Arsenal,Liverpool,3,4,1,1,A,9,16,5,7,5,4,13,17,EPL,1.18197,1.6591,2.0,12.0,8.666666666666666,9.586206896551724,2.43,3.41,3.08,2016/2017
2016-08-14,Bournemouth,Man United,1,3,0,1,A,9,11,3,7,4,2,7,10,EPL,0.522847,1.91105,3.0,4.0,14.625,10.52,4.68,3.56,1.86,2016/2017
2016-08-15,Chelsea,West Ham,2,1,0,0,H,16,7,6,3,7,1,16,16,EPL,1.4603,0.445604,7.0,3.0,6.264705882352941,11.892857142857142,1.66,3.96,5.68,2016/2017
2016-08-19,Man United,Southampton,2,0,1,0,H,12,13,5,1,4,0,11,8,EPL,1.36553,0.613233,9.0,8.0,17.2,6.870967741935484,1.52,4.24,7.42,2016/2017
2016-08-20,Burnley,Liverpool,2,0,2,0,H,3,26,2,5,1,12,14,5,EPL,0.197536,0.939025,0.0,14.0,25.4375,6.0,6.9,4.03,1.56,2016/2017
2016-08-20,Leicester,Arsenal,0,0,0,0,D,8,13,1,4,2,7,11,7,EPL,0.553693,0.521509,8.0,12.0,7.444444444444445,6.652173913043479,2.9,3.5,2.5,2016/2017
2016-08-20,Stoke,Man City,1,4,0,2,A,8,12,3,6,7,7,12,13,EPL,1.31066,2.17198,3.0,9.0,13.31578947368421,4.727272727272728,5.34,3.79,1.72,2016/2017
2016-08-20,Swansea,Hull,0,2,0,0,A,13,12,3,4,8,3,7,10,EPL,1.14134,2.18655,11.0,5.0,10.233333333333333,25.25,1.8,3.5,5.2,2016/2017
2016-08-20,Tottenham,Crystal Palace,1,0,0,0,H,20,10,5,2,10,4,19,9,EPL,2.25623,0.357943,2.0,6.0,4.84375,8.35483870967742,1.47,4.47,8.08,2016/2017
2016-08-20,Watford,Chelsea,1,2,0,0,A,6,13,2,4,0,5,20,10,EPL,0.804549,1.75595,1.0,9.0,9.866666666666667,8.375,5.55,3.65,1.74,2016/2017
2016-08-20,West Brom,Everton,1,2,1,1,A,11,13,4,7,7,4,16,10,EPL,2.01885,1.83897,7.0,8.0,11.88888888888889,4.857142857142857,2.98,3.21,2.59,2016/2017
2016-08-21,Sunderland,Middlesbrough,1,2,0,2,A,18,8,5,3,8,1,11,14,EPL,1.4645,0.854908,12.0,6.0,9.96551724137931,5.875,2.6,3.19,3.0,2016/2017
