Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2019-09-13,Fortuna Dusseldorf,Wolfsburg,1,1,D,1,1,12,15,3,6,3,8,7,14,Bundesliga,0.679763,2.28602,4,3,14.904761904761903,6.888888888888889,3.04,3.65,2.28,2019/2020,10.0,6.0
2019-09-14,Augsburg,Ein Frankfurt,2,1,H,2,0,9,23,6,3,2,11,8,8,Bundesliga,1.58878,0.899696,3,9,18.4,6.166666666666667,3.47,3.7,2.06,2019/2020,15.0,7.0
2019-09-14,Dortmund,Leverkusen,4,0,H,1,0,11,22,9,12,3,3,9,11,Bundesliga,3.23112,1.14812,9,3,16.607142857142858,6.92,1.83,4.05,4.0,2019/2020,2.0,4.0
2019-09-14,FC Koln,M'gladbach,0,1,A,0,1,14,15,7,4,4,7,22,17,Bundesliga,0.841764,1.55336,8,7,5.111111111111111,6.181818181818182,2.55,3.58,2.68,2019/2020,-1.0,5.0
2019-09-14,Mainz,Hertha,2,1,H,1,0,14,16,5,8,6,3,16,11,Bundesliga,1.1162,2.07839,4,8,10.521739130434783,14.833333333333334,2.35,3.46,3.05,2019/2020,12.0,11.0
2019-09-14,Union Berlin,Werder Bremen,1,2,A,1,1,12,16,5,7,7,4,23,10,Bundesliga,1.98106,2.14722,5,6,8.76923076923077,9.117647058823527,2.8,3.51,2.49,2019/2020,-3.0,8.0
2019-09-14,RB Leipzig,Bayern Munich,1,1,D,1,1,12,14,6,7,3,6,11,4,Bundesliga,1.65427,1.6704,7,10,17.178571428571427,9.142857142857142,3.82,4.09,1.86,2019/2020,3.0,1.0
2019-09-15,Hoffenheim,Freiburg,0,3,A,0,2,22,16,5,8,12,4,10,6,Bundesliga,1.10385,1.78643,11,5,6.7368421052631575,21.875,1.69,4.23,4.68,2019/2020,9.0,13.0
2019-09-15,Paderborn,Schalke 04,1,5,A,1,1,9,18,1,11,3,5,17,12,Bundesliga,1.39508,1.9184,3,14,8.5,7.74074074074074,3.04,3.64,2.28,2019/2020,-2.0,14.0
2019-09-20,Schalke 04,Mainz,2,1,H,1,0,19,14,6,3,5,5,7,15,Bundesliga,0.873048,0.985151,6,6,8.333333333333334,7.125,1.64,4.14,5.14,2019/2020,14.0,12.0
2019-09-21,Bayern Munich,FC Koln,4,0,H,1,0,24,16,5,2,12,4,15,20,Bundesliga,2.92351,1.03267,12,7,7.92,14.5,1.12,9.62,22.01,2019/2020,1.0,-1.0
2019-09-21,Freiburg,Augsburg,1,1,D,1,1,17,12,5,2,7,4,13,13,Bundesliga,1.70133,0.884946,5,6,7.095238095238095,10.68,1.9,3.78,3.95,2019/2020,13.0,15.0
2019-09-21,Hertha,Paderborn,2,1,H,1,0,6,17,4,8,1,8,13,15,Bundesliga,0.983173,1.89015,4,8,8.18918918918919,5.862068965517241,1.72,4.06,4.61,2019/2020,11.0,-2.0
2019-09-21,Leverkusen,Union Berlin,2,0,H,2,0,20,4,7,0,8,1,10,10,Bundesliga,1.55742,0.125413,8,1,9.5,22.52,1.36,5.42,7.78,2019/2020,4.0,-3.0
2019-09-21,Werder Bremen,RB Leipzig,0,3,A,0,2,11,14,1,7,4,7,11,13,Bundesliga,0.583174,1.72557,9,8,13.952380952380953,9.785714285714286,4.16,4.26,1.76,2019/2020,8.0,3.0
2019-09-22,M'gladbach,Fortuna Dusseldorf,2,1,H,0,1,23,18,11,4,10,4,14,11,Bundesliga,4.2854,1.27666,7,5,9.823529411764708,18.4,1.68,4.12,4.86,2019/2020,5.0,10.0
2019-09-22,Ein Frankfurt,Dortmund,2,2,D,1,1,17,15,3,7,5,8,18,10,Bundesliga,1.15899,2.36595,1,6,10.05,7.904761904761905,4.31,4.19,1.75,2019/2020,7.0,2.0
2019-09-23,Wolfsburg,Hoffenheim,1,1,D,1,1,12,11,4,5,4,6,11,18,Bundesliga,0.941782,0.743288,6,8,10.071428571428571,10.137931034482758,1.97,3.8,3.75,2019/2020,6.0,9.0
2019-09-27,Union Berlin,Ein Frankfurt,1,2,A,0,0,12,14,5,6,4,5,11,12,Bundesliga,0.7564,2.31283,4,2,13.642857142857142,9.875,2.98,3.63,2.3,2019/2020,-3.0,7.0
