Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2014-09-20,Hamburg,Bayern Munich,0,0,0,0,D,4,15,0,3,3,9,22,11,Bundesliga,0.203118,1.03519,2,6,9.4468085106383,4.423076923076923,10.95,5.81,1.28,2014/2015,16,1
2014-09-20,Mainz,Dortmund,2,0,0,0,H,8,20,5,4,1,7,17,18,Bundesliga,0.974914,2.10376,4,8,9.333333333333334,5.0,5.39,4.17,1.62,2014/2015,7,2
2014-09-20,Paderborn,Hannover,2,0,0,0,H,17,14,4,2,7,5,11,13,Bundesliga,2.05175,0.550873,4,7,12.55,7.947368421052632,2.87,3.34,2.5,2014/2015,-2,10
2014-09-20,Schalke 04,Ein Frankfurt,2,2,1,2,D,8,15,3,4,1,3,15,15,Bundesliga,1.78008,0.83546,4,2,9.521739130434783,16.35,1.77,3.77,4.73,2014/2015,3,13
2014-09-20,Stuttgart,Hoffenheim,0,2,0,1,A,17,10,2,4,9,4,17,21,Bundesliga,1.32987,1.15033,9,5,3.647058823529412,10.387096774193548,2.59,3.38,2.76,2014/2015,15,9
2014-09-21,FC Koln,M'gladbach,0,0,0,0,D,10,9,7,1,4,3,15,13,Bundesliga,0.551855,0.772177,2,5,22.6,7.566666666666666,2.88,3.3,2.53,2014/2015,-1,6
2014-09-21,Wolfsburg,Leverkusen,4,1,2,1,H,17,12,9,1,8,3,9,12,Bundesliga,1.55879,0.616799,7,3,4.903225806451613,11.516129032258064,2.82,3.49,2.48,2014/2015,5,4
2014-09-23,Bayern Munich,Paderborn,4,0,2,0,H,25,6,9,2,9,3,8,7,Bundesliga,3.48286,0.402844,23,2,4.25,44.8,1.12,9.33,24.1,2014/2015,1,-2
2014-09-23,Ein Frankfurt,Mainz,2,2,1,2,D,16,5,8,5,9,3,16,24,Bundesliga,1.45137,1.09799,11,4,9.307692307692308,7.84375,2.35,3.37,3.08,2014/2015,13,7
2014-09-23,Hoffenheim,Freiburg,3,3,1,2,D,18,6,8,4,4,3,20,14,Bundesliga,1.81502,2.44871,5,3,4.228571428571429,11.26086956521739,1.68,3.94,5.18,2014/2015,9,14
2014-09-23,Werder Bremen,Schalke 04,0,3,0,0,A,12,11,4,4,6,5,17,15,Bundesliga,0.992105,1.36741,5,6,8.357142857142858,6.833333333333333,2.83,3.56,2.44,2014/2015,12,3
2014-09-24,Dortmund,Stuttgart,2,2,0,0,D,25,10,9,5,5,4,11,10,Bundesliga,2.13683,1.48044,14,5,8.863636363636363,22.235294117647054,1.36,5.08,8.55,2014/2015,2,15
2014-09-24,Hannover,FC Koln,1,0,1,0,H,9,9,4,3,2,6,9,11,Bundesliga,0.408032,0.695122,3,5,19.63157894736842,11.136363636363637,2.25,3.37,3.29,2014/2015,10,-1
2014-09-24,Hertha,Wolfsburg,1,0,1,0,H,3,13,3,3,6,5,15,10,Bundesliga,0.428365,0.855691,2,4,12.48,2.967741935483871,3.16,3.45,2.29,2014/2015,11,5
2014-09-24,Leverkusen,Augsburg,1,0,1,0,H,17,11,3,4,6,7,13,13,Bundesliga,1.65235,0.571159,6,4,6.125,5.571428571428571,1.58,4.3,5.64,2014/2015,4,8
2014-09-24,M'gladbach,Hamburg,1,0,1,0,H,20,14,9,1,9,9,19,17,Bundesliga,2.38906,0.560569,4,2,7.533333333333333,10.35,1.72,3.88,4.92,2014/2015,6,16
2014-09-26,Mainz,Hoffenheim,0,0,0,0,D,10,13,3,3,5,4,13,25,Bundesliga,0.614332,1.08667,5,2,9.142857142857142,11.448275862068966,2.4,3.5,2.9,2014/2015,7,9
2014-09-27,FC Koln,Bayern Munich,0,2,0,1,A,8,21,3,8,2,11,6,6,Bundesliga,0.821798,3.46966,0,27,44.09090909090909,5.44,8.86,4.9,1.38,2014/2015,-1,1
2014-09-27,Freiburg,Leverkusen,0,0,0,0,D,8,16,3,8,5,3,21,24,Bundesliga,0.722358,1.17679,2,5,6.636363636363637,7.896551724137931,4.34,3.71,1.83,2014/2015,14,4
2014-09-27,Paderborn,M'gladbach,1,2,0,2,A,24,11,8,4,9,0,9,18,Bundesliga,1.5747,1.43504,8,5,11.0,10.95,3.45,3.46,2.15,2014/2015,-2,6
2014-09-27,Schalke 04,Dortmund,2,1,2,1,H,11,17,6,5,3,9,15,15,Bundesliga,1.07746,0.662005,2,7,8.925925925925926,4.777777777777778,3.5,3.61,2.06,2014/2015,3,2
2014-09-27,Stuttgart,Hannover,1,0,0,0,H,12,12,6,4,8,1,16,16,Bundesliga,0.826395,0.853246,5,5,8.242424242424242,15.857142857142858,2.04,3.52,3.61,2014/2015,15,10
2014-09-27,Wolfsburg,Werder Bremen,2,1,1,1,H,18,8,8,3,8,5,11,12,Bundesliga,1.24302,0.32535,5,5,4.560975609756097,10.866666666666667,1.52,4.36,6.1,2014/2015,5,12
2014-09-28,Augsburg,Hertha,1,0,1,0,H,8,10,3,3,3,9,18,20,Bundesliga,1.25743,0.283655,3,1,3.9166666666666665,7.166666666666667,2.05,3.47,3.7,2014/2015,8,11
2014-09-28,Hamburg,Ein Frankfurt,1,2,0,1,A,14,7,6,4,8,3,21,18,Bundesliga,1.09327,0.232889,6,2,3.931034482758621,8.2,2.18,3.49,3.32,2014/2015,16,13
2014-10-03,Hertha,Stuttgart,3,2,1,1,H,12,9,9,2,3,7,18,15,Bundesliga,2.36582,1.42919,5,8,13.227272727272728,5.933333333333334,2.27,3.46,3.21,2014/2015,11,15
2014-10-04,Bayern Munich,Hannover,4,0,3,0,H,23,6,9,3,11,1,4,11,Bundesliga,2.69879,0.443178,14,5,11.0,52.375,1.14,8.5,20.58,2014/2015,1,10
2014-10-04,Dortmund,Hamburg,0,1,0,1,A,17,10,3,5,8,4,10,19,Bundesliga,1.20017,1.42953,7,4,4.142857142857143,7.333333333333333,1.37,5.14,8.65,2014/2015,2,16
2014-10-04,Ein Frankfurt,FC Koln,3,2,1,1,H,19,12,8,7,6,2,10,15,Bundesliga,2.49948,1.12408,5,4,13.565217391304348,12.84,2.38,3.26,3.17,2014/2015,13,-1
2014-10-04,Hoffenheim,Schalke 04,2,1,2,0,H,20,13,8,3,5,3,18,16,Bundesliga,3.2287,0.847395,9,7,9.421052631578949,11.27777777777778,2.3,3.58,3.0,2014/2015,9,3
2014-10-04,Leverkusen,Paderborn,2,2,1,1,D,21,8,10,5,9,2,25,18,Bundesliga,1.60118,1.12552,11,1,2.7551020408163267,7.352941176470588,1.35,5.16,8.98,2014/2015,4,-2
2014-10-04,Werder Bremen,Freiburg,1,1,1,1,D,18,7,7,3,10,5,13,14,Bundesliga,1.21503,1.03746,12,7,5.642857142857143,9.176470588235292,2.39,3.37,3.02,2014/2015,12,14
2014-10-05,M'gladbach,Mainz,1,1,1,1,D,18,8,10,2,2,3,12,12,Bundesliga,1.66132,1.10201,13,3,6.441176470588236,18.5,1.88,3.59,4.24,2014/2015,6,7
2014-10-05,Wolfsburg,Augsburg,1,0,0,0,H,15,7,4,1,4,1,15,13,Bundesliga,0.684001,0.666035,4,5,9.833333333333334,9.535714285714286,1.77,3.74,4.7,2014/2015,5,8
2014-10-18,Bayern Munich,Werder Bremen,6,0,4,0,H,19,0,6,0,10,0,10,12,Bundesliga,2.49826,0.0,16,0,3.633333333333333,28.8,1.11,10.68,23.5,2014/2015,1,12
2014-10-18,FC Koln,Dortmund,2,1,1,0,H,5,16,2,3,3,6,11,14,Bundesliga,0.904346,0.825853,1,11,13.321428571428571,6.72,5.59,3.94,1.64,2014/2015,-1,2
2014-10-18,Freiburg,Wolfsburg,1,2,0,1,A,14,15,7,8,6,2,11,18,Bundesliga,1.00939,1.45969,11,2,6.529411764705882,8.428571428571429,3.65,3.47,2.04,2014/2015,14,5
2014-10-18,Hannover,M'gladbach,0,3,0,1,A,11,10,4,4,7,2,15,16,Bundesliga,0.558311,1.61826,7,4,11.478260869565217,10.357142857142858,3.17,3.38,2.29,2014/2015,10,6
2014-10-18,Mainz,Augsburg,2,1,2,0,H,8,15,6,6,4,6,15,14,Bundesliga,1.06245,1.03873,6,8,9.4,11.0,2.39,3.3,3.12,2014/2015,7,8
2014-10-18,Schalke 04,Hertha,2,0,1,0,H,7,15,3,4,0,5,21,21,Bundesliga,0.80457,0.848507,5,4,10.916666666666666,7.6923076923076925,1.73,3.83,4.87,2014/2015,3,11
2014-10-18,Stuttgart,Leverkusen,3,3,0,3,D,13,17,6,6,6,7,14,19,Bundesliga,1.30466,1.86824,3,4,5.451612903225806,8.363636363636363,3.52,3.5,2.09,2014/2015,15,4
2014-10-19,Hamburg,Hoffenheim,1,1,1,1,D,17,9,6,4,5,2,16,24,Bundesliga,1.82378,1.55868,6,3,5.178571428571429,7.9714285714285715,2.53,3.38,2.78,2014/2015,16,9
2014-10-19,Paderborn,Ein Frankfurt,3,1,0,0,H,14,11,5,3,3,4,10,13,Bundesliga,2.37575,0.558647,7,6,9.785714285714286,8.678571428571429,2.58,3.36,2.75,2014/2015,-2,13
2014-10-24,Werder Bremen,FC Koln,0,1,0,0,A,11,10,4,4,8,1,19,12,Bundesliga,0.514564,0.519282,4,2,4.416666666666667,11.521739130434783,2.64,3.42,2.66,2014/2015,12,-1
2014-10-25,Augsburg,Freiburg,2,0,1,0,H,15,10,4,3,2,5,17,13,Bundesliga,2.2412,0.909372,6,2,9.548387096774194,13.833333333333334,1.88,3.59,4.28,2014/2015,8,14
2014-10-25,Dortmund,Hannover,0,1,0,0,A,17,7,4,3,14,1,13,18,Bundesliga,1.61946,0.695852,10,2,8.608695652173912,8.04,1.24,6.55,12.21,2014/2015,2,10
2014-10-25,Ein Frankfurt,Stuttgart,4,5,1,2,A,21,20,13,10,3,9,17,18,Bundesliga,2.97969,3.13433,9,5,6.962962962962963,7.1,2.33,3.51,2.99,2014/2015,13,15
2014-10-25,Hertha,Hamburg,3,0,0,0,H,15,10,6,3,4,1,15,21,Bundesliga,2.51297,0.784655,6,5,8.413793103448276,3.0,2.27,3.38,3.26,2014/2015,11,16
2014-10-25,Hoffenheim,Paderborn,1,0,0,0,H,19,11,5,1,6,4,14,15,Bundesliga,1.5035,0.673226,6,4,5.1,12.36842105263158,1.64,4.21,5.12,2014/2015,9,-2
2014-10-25,Leverkusen,Schalke 04,1,0,0,0,H,24,4,7,1,8,3,8,17,Bundesliga,0.837202,0.145365,11,2,8.115384615384615,9.857142857142858,1.73,4.09,4.54,2014/2015,4,3
