,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,round,league,HTxpts,Hppda_coef,Appda_coef,ATxpts,HTatt_S,HTmid_S,HTdef_S,HTOVA_S,ATatt_S,ATmid_S,ATdef_S,ATOVA_S,AVGH,AVGD,AVGA,season,HTW,HTD,HTL,ATL,ATD,ATW,HT_wins,AT_wins,HT_draws,AT_draws,HT_losses,AT_losses,l5_ravg_HTST,l5_ravg_ATST,HTCR,ATCR,l5_ravg_HTCR,l5_ravg_ATCR,HTGS,ATGS,HTGC,ATGC,HToveral,AToveral,l5_ravg_HTxG,l5_ravg_ATxG,l5_ravg_HTxpts,l5_ravg_ATxpts,l5_ravg_HTdeep,l5_ravg_ATdeep,l5_ravg_HTppda,l5_ravg_ATppda,l5_ravg_HTgs,l5_ravg_ATgs,l5_ravg_HTgc,l5_ravg_ATgc,l5_htdiff,l5_atdiff,HomeTeamPoints,AwayTeamPoints,avgHTP,avgATP,l5_ravg_HTp,l3_ravg_ATp,diff_points,diff_ATT,diff_MID,diff_DEF,diff_OVA
12,2014-09-14,Cagliari,Atalanta,1.0,2.0,0.0,1.0,A,1,Serie_A,2.8086,5.6,12.0,0.1221,71.0,72.0,71.0,72.0,77.0,74.0,71.0,73.0,2.3,3.37,3.22,2014/2015,0,0,1,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,,,0.11,0.67,,,1,0,1,0,0,0,,,,,,,,,,,,,,,1,1,1.0,1.0,,,0,-6.0,-2.0,0.0,-1.0
13,2014-09-14,Fiorentina,Genoa,0.0,0.0,0.0,0.0,D,1,Serie_A,2.6992000000000003,5.407407407407407,14.0,0.1834,77.0,77.0,76.0,77.0,74.0,73.0,72.0,74.0,1.58,3.94,6.5,2014/2015,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,,,0,1,2,2,-2,-1,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,3.0,4.0,4.0,3.0
14,2014-09-14,Inter,Sassuolo,7.0,0.0,4.0,0.0,H,1,Serie_A,2.9571,4.685714285714286,9.970588235294118,0.0279,78.0,74.0,76.0,77.0,74.0,70.0,72.0,73.0,1.48,4.3,7.54,2014/2015,1,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.64,0.0,,,0,1,0,1,0,0,,,,,,,,,,,,,,,1,1,1.0,1.0,,,0,4.0,4.0,4.0,4.0
15,2014-09-14,Lazio,Cesena,3.0,0.0,1.0,0.0,H,1,Serie_A,2.526,5.173913043478261,23.08333333333333,0.2799,78.0,75.0,75.0,77.0,68.0,68.0,66.0,68.0,1.34,4.92,10.44,2014/2015,1,0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.5,0.0,,,1,1,3,0,-2,1,,,,,,,,,,,,,,,0,3,0.0,3.0,,,-3,10.0,7.0,9.0,9.0
16,2014-09-14,Napoli,Chievo,0.0,1.0,0.0,0.0,A,1,Serie_A,2.4786,3.892857142857143,13.68,0.3551999999999999,84.0,78.0,76.0,78.0,74.0,73.0,72.0,72.0,1.37,4.8,9.57,2014/2015,0,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,,,2,0,1,1,1,-1,,,,,,,,,,,,,,,3,0,3.0,0.0,,,3,10.0,5.0,4.0,6.0
17,2014-09-14,Parma,Milan,4.0,5.0,1.0,3.0,A,1,Serie_A,0.1683,11.538461538461538,14.588235294117649,2.7525000000000004,71.0,70.0,69.0,71.0,77.0,76.0,76.0,77.0,2.84,3.26,2.6,2014/2015,0,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,,,1.33,0.71,,,0,3,1,1,-1,2,,,,,,,,,,,,,,,0,3,0.0,3.0,,,-3,-6.0,-6.0,-7.0,-6.0
18,2014-09-14,Sampdoria,Torino,2.0,0.0,1.0,0.0,H,1,Serie_A,1.2762,10.714285714285714,10.35,1.2117,76.0,72.0,72.0,74.0,75.0,73.0,76.0,74.0,2.49,3.1,3.14,2014/2015,1,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.5,0.0,,,1,0,1,0,0,0,,,,,,,,,,,,,,,1,1,1.0,1.0,,,0,1.0,-1.0,-4.0,0.0
19,2014-09-15,Verona,Palermo,2.0,1.0,1.0,1.0,H,1,Serie_A,1.9537,10.166666666666666,8.821428571428571,0.7975,73.0,73.0,71.0,72.0,73.0,72.0,72.0,73.0,2.2,3.34,3.48,2014/2015,1,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.4,0.25,,,0,1,0,1,0,0,,,,,,,,,,,,,,,1,1,1.0,1.0,,,0,0.0,1.0,-1.0,-1.0
20,2014-09-20,Cesena,Empoli,2.0,2.0,2.0,0.0,D,1,Serie_A,1.0039,14.25,9.941176470588236,1.7428,68.0,68.0,66.0,68.0,71.0,72.0,73.0,72.0,2.86,3.02,2.76,2014/2015,0,1,0,0,1,0,1.0,0.0,0.0,0.0,1.0,2.0,,,0.4,0.33,,,1,0,3,3,-2,-3,,,,,,,,,,,,,,,3,0,1.5,0.0,,,3,-3.0,-4.0,-7.0,-4.0
21,2014-09-20,Milan,Juventus,0.0,1.0,0.0,0.0,A,1,Serie_A,0.3653,10.689655172413794,7.133333333333334,2.4194,77.0,76.0,76.0,77.0,78.0,78.0,80.0,80.0,3.32,3.26,2.32,2014/2015,0,0,1,0,0,1,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.25,,,8,3,5,0,3,3,,,,,,,,,,,,,,,6,6,3.0,3.0,,,0,-1.0,-2.0,-4.0,-3.0
