,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,round,league,HTxpts,Hppda_coef,Appda_coef,ATxpts,HTatt_S,HTmid_S,HTdef_S,HTOVA_S,ATatt_S,ATmid_S,ATdef_S,ATOVA_S,AVGH,AVGD,AVGA,season,HTW,HTD,HTL,ATL,ATD,ATW,HT_wins,AT_wins,HT_draws,AT_draws,HT_losses,AT_losses,l5_ravg_HTST,l5_ravg_ATST,HTCR,ATCR,l5_ravg_HTCR,l5_ravg_ATCR,HTGS,ATGS,HTGC,ATGC,HToveral,AToveral,l5_ravg_HTxG,l5_ravg_ATxG,l5_ravg_HTxpts,l5_ravg_ATxpts,l5_ravg_HTdeep,l5_ravg_ATdeep,l5_ravg_HTppda,l5_ravg_ATppda,l5_ravg_HTgs,l5_ravg_ATgs,l5_ravg_HTgc,l5_ravg_ATgc,l5_htdiff,l5_atdiff,HomeTeamPoints,AwayTeamPoints,avgHTP,avgATP,l5_ravg_HTp,l3_ravg_ATp,diff_points,diff_ATT,diff_MID,diff_DEF,diff_OVA
13,2014-08-23,Everton,Arsenal,2.0,2.0,2.0,0.0,D,1,EPL,1.279,15.882352941176473,7.787878787878788,1.4293,78,78,78,78,80,80,77,80,2.73,3.34,2.74,2014/2015,0,1,0,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,,,1.0,0.67,,,2,2,2,1,0,1,,,,,,,,,,,,,,,1,3,1.0,3.0,,,-2,-2,-2,1,-2
14,2014-08-23,Southampton,West Brom,0.0,0.0,0.0,0.0,D,1,EPL,1.2772,7.444444444444445,12.391304347826088,1.3363,77,75,76,76,74,74,71,74,1.87,3.59,4.59,2014/2015,0,1,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,0.0,,,1,2,2,2,-1,0,,,,,,,,,,,,,,,0,1,0.0,1.0,,,-1,3,1,5,2
15,2014-08-23,Swansea,Burnley,1.0,0.0,1.0,0.0,H,1,EPL,1.4231,14.0,13.75,1.2368,77,74,74,75,71,70,71,70,1.65,3.88,6.0,2014/2015,1,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.2,0.0,,,2,1,1,3,1,-2,,,,,,,,,,,,,,,3,0,3.0,0.0,,,3,6,4,3,5
16,2014-08-24,Hull,Stoke,1.0,1.0,1.0,0.0,D,1,EPL,0.7265999999999999,20.5,9.789473684210526,1.9947,75,73,70,73,76,75,74,76,2.5,3.18,3.15,2014/2015,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.5,0.33,,,1,0,0,1,1,-1,,,,,,,,,,,,,,,3,0,3.0,0.0,,,3,-1,-2,-4,-3
17,2014-08-24,Sunderland,Man United,1.0,1.0,1.0,1.0,D,1,EPL,0.9735,12.714285714285714,11.0,1.674,76,73,72,74,85,80,75,81,4.86,3.83,1.77,2014/2015,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.33,0.33,,,2,1,2,2,0,-1,,,,,,,,,,,,,,,1,0,1.0,0.0,,,1,-9,-7,-3,-7
18,2014-08-24,Tottenham,QPR,4.0,0.0,3.0,0.0,H,1,EPL,2.2766,7.724137931034483,16.285714285714285,0.5381,78,77,77,78,74,74,71,75,1.48,4.45,7.5,2014/2015,1,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.8,0.0,,,1,0,0,1,1,-1,,,,,,,,,,,,,,,3,0,3.0,0.0,,,3,4,3,6,3
19,2014-08-25,Man City,Liverpool,3.0,1.0,1.0,0.0,H,1,EPL,1.7441,17.0,18.22222222222222,0.9614,83,82,81,82,79,78,75,79,1.85,3.86,4.35,2014/2015,1,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.75,0.33,,,2,2,0,1,2,1,,,,,,,,,,,,,,,3,3,3.0,3.0,,,0,4,4,6,3
20,2014-08-30,Burnley,Man United,0.0,0.0,0.0,0.0,D,1,EPL,1.3137,11.296296296296296,7.142857142857143,1.2096,71,70,71,70,85,80,75,81,6.22,3.94,1.62,2014/2015,0,1,0,0,1,0,0.0,0.0,0.0,1.0,2.0,1.0,,,0.0,0.0,,,1,2,4,3,-3,-1,,,,,,,,,,,,,,,0,1,0.0,0.5,,,-1,-14,-10,-4,-11
21,2014-08-30,Everton,Chelsea,3.0,6.0,1.0,2.0,A,1,EPL,0.9794,6.185185185185185,10.586206896551724,1.7878999999999998,78,78,78,78,82,82,81,83,3.71,3.23,2.2,2014/2015,0,0,1,0,0,1,0.0,2.0,2.0,0.0,0.0,0.0,,,0.43,0.75,,,4,5,4,1,0,4,,,,,,,,,,,,,,,2,6,1.0,3.0,,,-4,-4,-4,-3,-5
22,2014-08-30,Man City,Stoke,0.0,1.0,0.0,0.0,A,1,EPL,1.8615,3.466666666666667,27.166666666666668,0.7476,83,82,81,82,76,75,74,76,1.2,7.08,19.24,2014/2015,0,0,1,0,0,1,2.0,0.0,0.0,1.0,0.0,1.0,,,0.0,0.5,,,5,1,1,2,4,-1,,,,,,,,,,,,,,,6,1,2.0,0.5,,,5,7,7,7,6
